Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/scratch/cpanse/PXD028735/dia/LFQ_Orbitrap_AIF_Condition_A_Sample_Beta_01.mzML	/scratch/cpanse/PXD028735/dia/LFQ_Orbitrap_AIF_Condition_B_Sample_Alpha_01.mzML	/scratch/cpanse/PXD028735/dia/LFQ_Orbitrap_AIF_Condition_A_Sample_Gamma_01.mzML	/scratch/cpanse/PXD028735/dia/LFQ_Orbitrap_AIF_Condition_B_Sample_Beta_01.mzML	/scratch/cpanse/PXD028735/dia/LFQ_Orbitrap_AIF_Condition_B_Sample_Gamma_01.mzML	/scratch/cpanse/PXD028735/dia/LFQ_Orbitrap_AIF_Condition_A_Sample_Alpha_01.mzML
A0A0U1RRM2	A0A0U1RRM2	A0A0U1RRM2_HUMAN	SEPTIN7		135351	181095	194662			148478
A0A140TA76;K7EMZ9	A0A140TA76;K7EMZ9	A0A140TA76_HUMAN;K7EMZ9_HUMAN	LSM14A			151836				180976
A0A1B0GTJ9	A0A1B0GTJ9;A0A1B0GV14	A0A1B0GTJ9_HUMAN	FIRRM		260359	203304	437431		448593	356507
A0A1B0GTW6	A0A1B0GTW6	A0A1B0GTW6_HUMAN	EPB41L1							
A0A1B0GVA5	Q03154;A0A1B0GU86;A0A1B0GV31;A0A1B0GVA5;A0A1B0GW23;C9JMV9	A0A1B0GVA5_HUMAN	ABHD14A-ACY1		5.70577e+06	5.8308e+06	5.54214e+06	4.85532e+06	5.77025e+06	5.47039e+06
A0A1B0GVI3	A0A1B0GVI3	A0A1B0GVI3_HUMAN	KRT10							
A0A1B0GWG0;A0A2R8Y6D0	A0A1B0GWG0;A0A2R8Y6D0	A0A1B0GWG0_HUMAN;A0A2R8Y6D0_HUMAN	EPB41		499574	594257	489550	261512	620857	691567
A0A1C7CYX0	A0A1C7CYX0	A0A1C7CYX0_HUMAN	EXOC3L2			355706	409353	282155	179654	
A0A1W2PPF3	A0A1W2PPF3	DUXB_HUMAN	DUXB							3.99293e+06
A0A1W2PR95;P78318	P78318;A0A1W2PR95	IGB1C_HUMAN;IGBP1_HUMAN	IGBP1;IGBP1C			767471	450237	688324	536868	800573
A0A2R8Y602;A0A2R8YDH5;F5H7A5	A0A2R8Y602;A0A2R8YDH5;F5H7A5	A0A2R8Y602_HUMAN;A0A2R8YDH5_HUMAN;F5H7A5_HUMAN	CLPB		1.89842e+06	1.21187e+06	1.68144e+06	1.5925e+06	1.8573e+06	1.97764e+06
A0A2R8Y6N0;A0A2R8YDA1	A0A2R8Y6N0;A0A2R8YDA1	A0A2R8Y6N0_HUMAN;A0A2R8YDA1_HUMAN	SMARCA4			242627				111941
A0A2R8YE54;E5KLJ9	E5KLJ9;A0A2R8YE54	A0A2R8YE54_HUMAN;E5KLJ9_HUMAN	OPA1		262544	206487	236869		364667	280276
A0A2R8YFJ4;A0A994J4S5;F2Z2U4;H0Y4W2	A0A2R8YFJ4;F2Z2U4;H0Y4W2;A0A994J4S5	A0A2R8YFJ4_HUMAN;A0A994J4S5_HUMAN;F2Z2U4_HUMAN;H0Y4W2_HUMAN	TRRAP			637261	660698	298056	499835	574108
A0A2R8YFR0;A0A8V8TNQ0	A0A2R8Y4D3;A0A2R8YFR0;A0A8V8TNQ0;C9JTB0	A0A2R8YFR0_HUMAN;A0A8V8TNQ0_HUMAN	IKZF1							178986
A0A2R8YG42;A0A8V8TQ72;B1ALK7	A0A2R8YG42;A0A8V8TQ72;B1ALK7	A0A2R8YG42_HUMAN;A0A8V8TQ72_HUMAN;B1ALK7_HUMAN	ARHGEF7		881856	955354	832755	646449	766152	911437
A0A3B3IS06;E7ETY2	A0A3B3IS06;A0A6I8PRA0;E7ETY2	A0A3B3IS06_HUMAN;E7ETY2_HUMAN	TCOF1		799308	748956	869612	774125	1.01966e+06	845175
A0A3B3ISF0;A0A3B3IT29	A0A3B3ISF0;A0A3B3IT29	A0A3B3ISF0_HUMAN;A0A3B3IT29_HUMAN	LARP1B							
A0A3B3ITJ4	A0A3B3ITJ4	A0A3B3ITJ4_HUMAN	HNRNPL		2.19088e+06	2.72933e+06	2.11598e+06	2.34276e+06	2.36673e+06	2.66123e+06
A0A3B3IUC1	A0A3B3IUC1	A0A3B3IUC1_HUMAN	NEDD4							1.51463e+06
A0A3B3IUC1;H0Y9L1	A0A3B3IUC1;H0Y9L1	A0A3B3IUC1_HUMAN;H0Y9L1_HUMAN	NEDD4			692952				
A0A494BZW2;A0A494C1L5;A0A8V8TM79;E9PEM5	A0A494BZW2;A0A494C1L5;A0A8V8TM79;E9PEM5	A0A494BZW2_HUMAN;A0A494C1L5_HUMAN;A0A8V8TM79_HUMAN;E9PEM5_HUMAN	LRBA		665917	646702	756066	603139	677895	682197
A0A494C0R8;I3L2B0	A0A494C0R8;I3L2B0	A0A494C0R8_HUMAN;I3L2B0_HUMAN	CLUH		6.57147e+06	7.86584e+06	8.2512e+06	2.39769e+06	8.11718e+06	7.44799e+06
A0A494C0Y9;A0A8V8TNY3	A0A494C0Y9;A0A8V8TNY3	A0A494C0Y9_HUMAN;A0A8V8TNY3_HUMAN	FAM120A			224053	252118			344806
A0A499FI31	A0A499FI31	A0A499FI31_HUMAN	SART3		1.07211e+06	672270	1.09718e+06	900628	593074	902810
A0A499FIZ0;A0A7I2V3I7;A0A7I2YQQ9	A0A499FIZ0;A0A7I2V3I7;A0A7I2YQQ9	A0A499FIZ0_HUMAN;A0A7I2V3I7_HUMAN;A0A7I2YQQ9_HUMAN	WDR26		1.0851e+06	1.22526e+06	1.30104e+06	866479	1.3088e+06	1.19635e+06
A0A5F9ZH79;A0A5F9ZHP1	A0A5F9ZH79;A0A5F9ZHP1	A0A5F9ZH79_HUMAN;A0A5F9ZHP1_HUMAN	ASCC1							
A0A5F9ZHJ0	A0A5F9ZHJ0	A0A5F9ZHJ0_HUMAN	ACAT1		472855		758119	175158	666232	549494
A0A5F9ZHS3;A0A5F9ZI68;E7EN32;E7ENS2	A0A5F9ZHS3;E7EN32;A0A5F9ZI68;A0A8C8KI51;E7ENS2	A0A5F9ZHS3_HUMAN;A0A5F9ZI68_HUMAN;E7EN32_HUMAN;E7ENS2_HUMAN	MEN1							
A0A5H1ZRP4	A0A5H1ZRP4	A0A5H1ZRP4_HUMAN	NELFB		2.15375e+06	2.17016e+06	2.20074e+06	1.67606e+06	1.92791e+06	2.16737e+06
A0A5H1ZRS1	A0A5H1ZRS1	A0A5H1ZRS1_HUMAN	PCM1			154469	331411		265848	304720
A0A669KAV7;A0A669KBH9;M0QXA7	M0QXA7;A0A669KAV7;A0A669KBG4;A0A669KBH9;B9EGQ5	A0A669KAV7_HUMAN;A0A669KBH9_HUMAN;M0QXA7_HUMAN	WIZ		1.41601e+06	1.11306e+06	1.43316e+06	1.16151e+06	1.51446e+06	1.316e+06
A0A669KB40	A0A669KB40	A0A669KB40_HUMAN	EML6		853757	977177	925957	696982	895977	1.01568e+06
A0A6Q8PHC0;A0A6Q8PHJ9;A0A7I2RLJ8	A0A6Q8PHC0;A0A6Q8PHJ9;A0A7I2RLJ8	A0A6Q8PHC0_HUMAN;A0A6Q8PHJ9_HUMAN;A0A7I2RLJ8_HUMAN	AIFM1						88804.3	
A0A7I2V3W0	A0A7I2V3W0	A0A7I2V3W0_HUMAN	HNRNPA1		5.00963e+08	4.15077e+08	5.23016e+08	4.53414e+08	4.9569e+08	4.92854e+08
A0A7I2V3W0;A0A7I2V453	P09651;Q32P51;A0A7I2V3R8;A0A7I2V3W0;F8W6I7;A0A7I2V2F1;A0A7I2V2M7;A0A7I2V2Q7;A0A7I2V2R4;A0A7I2V2X1;A0A7I2V334;A0A7I2V360;A0A7I2V3K5;A0A7I2V3U8;A0A7I2V453;A0A7I2V459;A0A7I2V497;A0A7I2V4E2;A0A7I2V4F8;A0A7I2V4P7;A0A7I2V520;A0A7I2V5N7;A0A7I2V5P1;A0A7I2V661;A0A7I2V666;A0A7I2YQX9;A0A7I2YQY2;H0YH80	A0A7I2V3W0_HUMAN;A0A7I2V453_HUMAN	HNRNPA1		1.7187e+08	1.7066e+08	1.83266e+08	1.47191e+08	1.85916e+08	1.75189e+08
A0A7I2V453	A0A7I2V334;A0A7I2V453	A0A7I2V453_HUMAN	HNRNPA1							
A0A7I2V4I5	A0A7I2V4I5	A0A7I2V4I5_HUMAN	ZC3H13				311869		265688	60774.3
A0A7I2V4L7;A0A7I2V598;H0Y5F5;H0Y6X6	A0A7I2V4L7;A0A7I2V598;H0Y5F5;H0Y6X6	A0A7I2V4L7_HUMAN;A0A7I2V598_HUMAN;H0Y5F5_HUMAN;H0Y6X6_HUMAN	PABPC4		8.4922e+06	9.93292e+06	9.66986e+06	7.33128e+06	9.43502e+06	1.0429e+07
A0A7I2V540	A0A7I2V540	A0A7I2V540_HUMAN	VCP							
A0A7I2YQ88	A0A7I2YQ88	A0A7I2YQ88_HUMAN	PABPC1		746432	726031	506468	765614	711950	665362
A0A7I2YQV8	A0A7I2YQV8	A0A7I2YQV8_HUMAN	SYNCRIP		909849	1.21443e+06	1.15693e+06	852985	1.21602e+06	1.13012e+06
A0A7P0T9U7	A0A7P0T9U7	A0A7P0T9U7_HUMAN	SF1			3.53723e+06	3.37918e+06	3.71525e+06	3.71648e+06	3.68844e+06
A0A7P0TAK3;A0A7P0TBE7;A0A7P0Z436	A0A7P0TAK3;A0A7P0TBE7;A0A7P0Z436	A0A7P0TAK3_HUMAN;A0A7P0TBE7_HUMAN;A0A7P0Z436_HUMAN	WDR62			115006				269292
A0A7P0Z4K4	A0A7P0Z4K4	A0A7P0Z4K4_HUMAN	PPIL2				430387		485696	126324
A0A804CD06;Q5T949	A0A804CD06;Q5T949	A0A804CD06_HUMAN;Q5T949_HUMAN	PTPA							
A0A804F6T5;A0A804F729;H3BTN5	A0A804F6T5;A0A804F729;H3BTN5	A0A804F6T5_HUMAN;A0A804F729_HUMAN;H3BTN5_HUMAN	PKM					1.79431e+06		
A0A804HJG7;E7ERI8;E7EW49	E7ERI8;E7EW49;A0A804HJG7	A0A804HJG7_HUMAN;E7ERI8_HUMAN;E7EW49_HUMAN	CLASP2		1.31316e+06	1.87281e+06	2.18378e+06	1.50057e+06	1.80852e+06	1.84798e+06
A0A804HKE7	A0A804HKE7;E7EVA0	A0A804HKE7_HUMAN	MAP4			273484	250430		318779	223513
A0A804HLA8;P63218	P63218;A0A804HLA8	GBG5B_HUMAN;GBG5_HUMAN	GNG5;GNG5B		5.70372e+06	3.27002e+06	4.78758e+06	3.59001e+06	3.88327e+06	3.86e+06
A0A8I5KQB5;A0A8I5KWA0;A0A8I5QKM4	A6NKP2;A0A8I5KQB5;A0A8I5KWA0;A0A8I5QKM4	A0A8I5KQB5_HUMAN;A0A8I5KWA0_HUMAN;A0A8I5QKM4_HUMAN	SDR42E2			951188	1.15265e+06			
A0A8I5KRC6	A0A8I5KRC6	A0A8I5KRC6_HUMAN	MACROH2A1			3.40088e+06			4.7769e+06	3.33861e+06
A0A8I5KT56;A0A8I5KUC2;A0A8I5KWH0;A0A8I5KZ21;A8MQB8;G3V0J0	A0A8I5KT56;A0A8I5KZ21;A8MQB8;G3V0J0;A0A8I5KUC2;A0A8I5KWH0	A0A8I5KT56_HUMAN;A0A8I5KUC2_HUMAN;A0A8I5KWH0_HUMAN;A0A8I5KZ21_HUMAN;A8MQB8_HUMAN;G3V0J0_HUMAN	FMR1		90551.4	61177.6	109335		146621	55460.1
A0A8Q3SHP0;A0A8Q3WKE2;A0A8Q3WLR7	A0A8Q3SHP0;A0A8Q3WKE2;A0A8Q3WLR7	A0A8Q3SHP0_HUMAN;A0A8Q3WKE2_HUMAN;A0A8Q3WLR7_HUMAN	GOLGB1							
A0A8Q3SHZ4	A0A8Q3SHZ4	A0A8Q3SHZ4_HUMAN	NUP214		2.14411e+06	2.6961e+06	2.47641e+06	2.19336e+06	2.76972e+06	2.72383e+06
A0A8Q3WKR3;G3V292;H0YK26	A0A8Q3WKR3;G3V292;H0YK26	A0A8Q3WKR3_HUMAN;G3V292_HUMAN;H0YK26_HUMAN	PPP2R5C		877569	1.4437e+06	1.07929e+06	1.05209e+06	1.43423e+06	1.18794e+06
A0A8V8TMH9;M0QYC1;M0QYS3;M0QZH8;M0QZR4	A0A8V8TMH9;M0QZR4;M0QYC1;M0QYS3;M0QZH8	A0A8V8TMH9_HUMAN;M0QYC1_HUMAN;M0QYS3_HUMAN;M0QZH8_HUMAN;M0QZR4_HUMAN	ARHGEF1		75837.4		132059		154495	115544
A0A8V8TMN4;H0Y9S9;K7ENU7	A0A8V8TMN4;H0Y9S9;K7ENU7	A0A8V8TMN4_HUMAN;H0Y9S9_HUMAN;K7ENU7_HUMAN	PPIP5K2		1.22229e+06	1.34082e+06	1.3879e+06	946229	1.44966e+06	1.33641e+06
A0A8V8TMQ1;A0A8V8TNP6	A0A8V8TMQ1;A0A8V8TNP6	A0A8V8TMQ1_HUMAN;A0A8V8TNP6_HUMAN	FXR1		1.33059e+06	1.48286e+06	1.4952e+06	864190	1.5745e+06	1.52572e+06
A0A8V8TNE8;A0A8V8TPN4;K7EQ37	A0A8V8TNE8;A0A8V8TPN4;K7EQ37	A0A8V8TNE8_HUMAN;A0A8V8TPN4_HUMAN;K7EQ37_HUMAN	UNC13D			480963	278578	236787	710424	165728
A0A8V8TQW4	A0A8V8TQW4	A0A8V8TQW4_HUMAN	AP3D1						60560.9	
A0A994J3M8;A0A994J402;A0A994J6L8;F8VZ52	A0A994J3M8;A0A994J402;A0A994J6L8;F8VZ52	A0A994J3M8_HUMAN;A0A994J402_HUMAN;A0A994J6L8_HUMAN;F8VZ52_HUMAN	DNM1L		405765		715218		411413	552485
A0A994J3Q8;C9JSZ1	A0A994J3Q8;C9JSZ1	A0A994J3Q8_HUMAN;C9JSZ1_HUMAN	FUBP1		5.66418e+06		1.00161e+07		8.32107e+06	8.28477e+06
A0A994J4E9;A0A994J6T5;A0A994J6U9;B4DUQ1;Q5T6W2	B4DUQ1;Q5T6W2;A0A994J4E9;A0A994J6T5;A0A994J6U9	A0A994J4E9_HUMAN;A0A994J6T5_HUMAN;A0A994J6U9_HUMAN;B4DUQ1_HUMAN;Q5T6W2_HUMAN	HNRNPK		3.02933e+06	2.74034e+06	3.00217e+06	2.50444e+06	2.96283e+06	2.89384e+06
A0A994J4Y3;A0A994J7H1;A0A994J7V4	A0A994J4Y3;A0A994J7H1;A0A994J7V4	A0A994J4Y3_HUMAN;A0A994J7H1_HUMAN;A0A994J7V4_HUMAN	SRRM1		864917	1.19221e+06	1.15375e+06	771252	1.1583e+06	1.17708e+06
A0A994J4Y8	A0A994J4Y8	A0A994J4Y8_HUMAN	PGAM5		1.21657e+06	972401	1.16987e+06	853431	1.10857e+06	1.2556e+06
A0A994J4Y9;H7C1M2	H7C1M2;A0A994J4Y9	A0A994J4Y9_HUMAN;H7C1M2_HUMAN	SON		734493	1.11934e+06	1.06691e+06	977640	1.17178e+06	1.22358e+06
A0A994J5A3;A0A994J5W4	A0A994J5A3;A0A994J5W4	A0A994J5A3_HUMAN;A0A994J5W4_HUMAN	EPS15							
A0A994J5B1;E9PHY5;E9PK52;E9PMG5;H0Y5B0	E9PHY5;E9PK52;A0A994J5B1;E9PMG5;H0Y5B0	A0A994J5B1_HUMAN;E9PHY5_HUMAN;E9PK52_HUMAN;E9PMG5_HUMAN;H0Y5B0_HUMAN	EPB41L2		317630	396459	427802	183899	445408	420283
A0A994J5R8;A0A994J7M0;A0A994J7Z8;C9JLX5;C9K0F2	A0A994J5R8;A0A994J7M0;A0A994J7Z8;C9JLX5;C9K0F2	A0A994J5R8_HUMAN;A0A994J7M0_HUMAN;A0A994J7Z8_HUMAN;C9JLX5_HUMAN;C9K0F2_HUMAN	ZNF568							
A0A994J782	A0A994J782	A0A994J782_HUMAN	HNRNPK						234120	
A0A994J7H4	A0A994J7H4	A0A994J7H4_HUMAN	NPLOC4		436694	310697	311568	444984	454790	320656
A0A994J7P9	A0A994J7P9	A0A994J7P9_HUMAN	FXR2			530350			338238	728906
A0AV96	A0AV96;B7Z8Z7	RBM47_HUMAN	RBM47							
A0AVI2	A0AVI2;A0A286YFD1	FR1L5_HUMAN	FER1L5							
A0AVT1	A0AVT1	UBA6_HUMAN	UBA6		6.44582e+06	6.42762e+06	6.47429e+06	6.37205e+06	6.18253e+06	6.20477e+06
A0FGR8	A0FGR8;A0A499FIX8;H7BXI1	ESYT2_HUMAN	ESYT2		1.16584e+06	1.33623e+06	1.40035e+06	1.36108e+06	1.43289e+06	1.36799e+06
A0JLT2	A0JLT2;J3KR33	MED19_HUMAN	MED19		163438	205723	293285		196650	298738
A0JNW5	A0JNW5	BLT3B_HUMAN	BLTP3B			276487				
A0MZ66	A0MZ66	SHOT1_HUMAN	SHTN1		2.03429e+06	2.21176e+06	2.37295e+06	1.68985e+06	2.31692e+06	2.13117e+06
A0PJW6	A0PJW6	TM223_HUMAN	TMEM223		621941	1.04017e+06	1.00507e+06	448164	920028	927306
A1E5M1	A1E5M1	A1E5M1_HUMAN	PDE7B						849658	
A2A3N6;Q99755	Q99755;A2A3N6;A6PW57	PI51A_HUMAN;PIPSL_HUMAN	PIP5K1A;PIPSL							405737
A2CJ06	A2CJ06	DYTN_HUMAN	DYTN			2.55545e+06				
A2RRP1	A2RRP1;A0A8V8TP87;A0A8V8TPL8;A0A8V8TPS6;A0A8V8TQX6;H0Y5G7	NBAS_HUMAN	NBAS		2.11992e+06	2.49637e+06	2.29043e+06	2.12713e+06	2.60062e+06	2.54923e+06
A2RTX5	A2RTX5;B7ZLP8;H0YKB9	SYTC2_HUMAN	TARS3							155844
A2RTX5;P04801;P26639	A2RTX5;P26639;B7ZLP8;P04801	SYTC2_HUMAN;SYTC_HUMAN;SYTC_YEAST	TARS1;TARS3;THS1		4.14894e+07	3.04627e+07	4.10803e+07	2.29316e+07	2.9624e+07	3.76248e+07
A2RTX5;P26639	A2RTX5;P26639	SYTC2_HUMAN;SYTC_HUMAN	TARS1;TARS3		3.85662e+06	2.58432e+06	3.77467e+06	2.83048e+06	3.7187e+06	2.43286e+06
